unique_id,lake,station_id,sample_number,lat,long,agency_code,method,date,reporting_value,life_stage,final_id,taxon_level,phylum,subphylum,class,subclass,order,suborder,family,subfamily,tribe,genus,species,picked,squares,wind,oncolite,disturbance,substrate_size_d50,substrate,distance_fram_shore,temperature,conductivity,ph,macrophyte
onon_1_1,onon,onon_1,1,43.1147,-76.2444,esf,kick net,6/22/2014,1,,valvata,gen,mollusca,,gastropoda,,heterostropha,,valvatidae,,,valvata,,12,30,end,ol,low,0.346410162,sand,43.8,21.88,1660,7.31,1
onon_1_1,onon,onon_1,1,43.1147,-76.2444,esf,kick net,6/22/2014,40,,chironomus,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,chironominae,chironomini,chironomus,,12,30,end,ol,low,0.346410162,sand,43.8,21.88,1660,7.31,1
onon_1_1,onon,onon_1,1,43.1147,-76.2444,esf,kick net,6/22/2014,2,,cryptotendipes,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,chironominae,chironomini,cryptotendipes,,12,30,end,ol,low,0.346410162,sand,43.8,21.88,1660,7.31,1
onon_1_1,onon,onon_1,1,43.1147,-76.2444,esf,kick net,6/22/2014,2,,paratanytarsus,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,chironominae,tanytarsini,paratanytarsus,,12,30,end,ol,low,0.346410162,sand,43.8,21.88,1660,7.31,1
onon_1_1,onon,onon_1,1,43.1147,-76.2444,esf,kick net,6/22/2014,2,,polypedilum,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,chironominae,chironomini,polypedilum,,12,30,end,ol,low,0.346410162,sand,43.8,21.88,1660,7.31,1
onon_1_1,onon,onon_1,1,43.1147,-76.2444,esf,kick net,6/22/2014,2,,rheotanytarsus,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,chironominae,tanytarsini,rheotanytarsus,,12,30,end,ol,low,0.346410162,sand,43.8,21.88,1660,7.31,1
onon_1_1,onon,onon_1,1,43.1147,-76.2444,esf,kick net,6/22/2014,1,,tanytarsus,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,chironominae,tanytarsini,tanytarsus,,12,30,end,ol,low,0.346410162,sand,43.8,21.88,1660,7.31,1
onon_1_1,onon,onon_1,1,43.1147,-76.2444,esf,kick net,6/22/2014,1,,thienemanniella,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,orthocladiinae,,thienemanniella,,12,30,end,ol,low,0.346410162,sand,43.8,21.88,1660,7.31,1
onon_1_2,onon,onon_1,2,43.1147,-76.2444,esf,kick net,6/22/2014,1,,pisidium,gen,mollusca,,bivalvia,heterodonta,veneroida,,pisidiidae,,,pisidium,,12,30,end,ol,low,0.346410162,sand,43.8,21.88,1660,7.31,1
onon_1_2,onon,onon_1,2,43.1147,-76.2444,esf,kick net,6/22/2014,100,,chironomus,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,chironominae,chironomini,chironomus,,12,30,end,ol,low,0.346410162,sand,43.8,21.88,1660,7.31,1
