"","unique_id","lake","station_id","sample_number","lat","long","agency_code","method","date","final_id","taxon_level","phylum","subphylum","class","subclass","order","suborder","family","subfamily","tribe","genus","species","wind","oncolite","substrate_size_d50","substrate","temperature","conductivity","ph","macrophyte","count"
"1","caz_1_1","caz","caz_1",1,42.9754753,-75.8810883,"esf","kick net","7/1/2014","acentria","gen","arthropoda","hexapoda","insecta","pterygota","lepidoptera","","crambidae","nymphulinae","acentropini","acentria","","end","",0.346410162,"sand",22.2,289,7.31,3,1
"2","caz_1_1","caz","caz_1",1,42.9754753,-75.8810883,"esf","kick net","7/1/2014","agraylea","gen","arthropoda","hexapoda","insecta","pterygota","trichoptera","spicipalpia","hydroptilidae","hydroptilinae","hydroptilini","agraylea","","end","",0.346410162,"sand",22.2,289,7.31,3,1
"3","caz_1_1","caz","caz_1",1,42.9754753,-75.8810883,"esf","kick net","7/1/2014","baetidae","fam","arthropoda","hexapoda","insecta","pterygota","ephemeroptera","pisciforma","baetidae","","","","","end","",0.346410162,"sand",22.2,289,7.31,3,1
"4","caz_1_1","caz","caz_1",1,42.9754753,-75.8810883,"esf","kick net","7/1/2014","bezzia","gen","arthropoda","hexapoda","insecta","pterygota","diptera","nematocera","ceratopogonidae","ceratopogoninae","palpomyiini","bezzia","","end","",0.346410162,"sand",22.2,289,7.31,3,5
"5","caz_1_1","caz","caz_1",1,42.9754753,-75.8810883,"esf","kick net","7/1/2014","caecidotea","gen","arthropoda","crustacea","malacostraca","eumalacostraca","isopoda","asellota","asellidae","","","caecidotea","","end","",0.346410162,"sand",22.2,289,7.31,3,2
"6","caz_1_1","caz","caz_1",1,42.9754753,-75.8810883,"esf","kick net","7/1/2014","caenis","gen","arthropoda","hexapoda","insecta","pterygota","ephemeroptera","furcatergalia","caenidae","caeninae","","caenis","","end","",0.346410162,"sand",22.2,289,7.31,3,14
"7","caz_1_1","caz","caz_1",1,42.9754753,-75.8810883,"esf","kick net","7/1/2014","chironomus","gen","arthropoda","hexapoda","insecta","pterygota","diptera","nematocera","chironomidae","chironominae","chironomini","chironomus","","end","",0.346410162,"sand",22.2,289,7.31,3,1
"8","caz_1_1","caz","caz_1",1,42.9754753,-75.8810883,"esf","kick net","7/1/2014","cricotopus","gen","arthropoda","hexapoda","insecta","pterygota","diptera","nematocera","chironomidae","orthocladiinae","","cricotopus","","end","",0.346410162,"sand",22.2,289,7.31,3,1
"9","caz_1_1","caz","caz_1",1,42.9754753,-75.8810883,"esf","kick net","7/1/2014","dicrotendipes","gen","arthropoda","hexapoda","insecta","pterygota","diptera","nematocera","chironomidae","chironominae","chironomini","dicrotendipes","","end","",0.346410162,"sand",22.2,289,7.31,3,3
"10","caz_1_1","caz","caz_1",1,42.9754753,-75.8810883,"esf","kick net","7/1/2014","enallagma","gen","arthropoda","hexapoda","insecta","pterygota","odonata","zygoptera","coenagrionidae","","","enallagma","","end","",0.346410162,"sand",22.2,289,7.31,3,1
"11","caz_1_1","caz","caz_1",1,42.9754753,-75.8810883,"esf","kick net","7/1/2014","gammarus","gen","arthropoda","crustacea","malacostraca","eumalacostraca","amphipoda","gammaridea","gammaridae","","","gammarus","","end","",0.346410162,"sand",22.2,289,7.31,3,2
"12","caz_1_1","caz","caz_1",1,42.9754753,-75.8810883,"esf","kick net","7/1/2014","gyraulus","gen","mollusca","","gastropoda","","basommatophora","","planorbidae","","","gyraulus","","end","",0.346410162,"sand",22.2,289,7.31,3,1
"13","caz_1_1","caz","caz_1",1,42.9754753,-75.8810883,"esf","kick net","7/1/2014","hemerodromia","gen","arthropoda","hexapoda","insecta","pterygota","diptera","brachycera","empididae","hemerodromiinae","hemerodromiini","hemerodromia","","end","",0.346410162,"sand",22.2,289,7.31,3,1
"14","caz_1_1","caz","caz_1",1,42.9754753,-75.8810883,"esf","kick net","7/1/2014","hyalella","gen","arthropoda","crustacea","malacostraca","eumalacostraca","amphipoda","gammaridea","hyalellidae","","","hyalella","","end","",0.346410162,"sand",22.2,289,7.31,3,14
"15","caz_1_1","caz","caz_1",1,42.9754753,-75.8810883,"esf","kick net","7/1/2014","hydroptilidae","fam","arthropoda","hexapoda","insecta","pterygota","trichoptera","spicipalpia","hydroptilidae","","","","","end","",0.346410162,"sand",22.2,289,7.31,3,1
"16","caz_1_1","caz","caz_1",1,42.9754753,-75.8810883,"esf","kick net","7/1/2014","krenopelopia","gen","arthropoda","hexapoda","insecta","pterygota","diptera","nematocera","chironomidae","tanypodinae","pentaneurini","krenopelopia","","end","",0.346410162,"sand",22.2,289,7.31,3,9
