"DATA_COLUMN.SAMPLE_TYPE.UNITS.LABEL.FORMABBR.VAR_TYPE.RANGE_LOW.RANGE_HIGH.LEGAL_VALUES.REFERENCE"
"AGGR_ECO3_2015	DESIGN		NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions: EHIGH=Eastern Highlands (NAP, SAP); PLNLOW=Plains and Lowlands (CPL, NPL, SPL, TPL, UMW); WMTNS=Western Mountains and Xeric (WMT, XER).		CHARACTER			EHIGH|PLNLOW|WMTNS	"
"AGGR_ECO9_2015	DESIGN		NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions: CPL=Coastal Plains; NAP=Northern Appalachians; NPL=Northern Plains; SAP=Southern Appalachians; SPL=Southern Plains; TPL=Temperate Plains; UMW=Upper Midwest; WMT=Western Mountains; XER=Xeric West.		CHARACTER			CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER	"
"BENT_MMI_COND	BENT		Condition class based on benthic MMI score					Good|Fair|Poor|No Data	"
"BURRPTAX	BENT		% burrower taxa, based on WSA autecology			0	100		"
"CHIRPTAX	BENT		% Chironomidae taxa			0	100		"
"CLNGNTAX	BENT		Number of distinct clinger taxa, based on WSA autecology			0			"
"CLNGPTAX	BENT		% clinger taxa, based on WSA autecology			0	100		"
"COMP_PT	BENT		Metric score for composition metric			0	10		"
"DIVS_PT	BENT		Metric score for diversity metric			0	10		"
"DOM5PIND	BENT		% individuals in dominant 5 taxa			0	100		"
"EPHENTAX	BENT		Number of distinct Ephemeroptera taxa			0			"
"EPHEPTAX	BENT		% Ephemeroptera taxa			0	100		"
"EPT_NTAX	BENT		Number of distinct Ephemeroptera, Plecoptera, and Trichoptera taxa			0			"
"EPT_PIND	BENT		% Ephemeroptera, Plecoptera, and Trichoptera individuals			0	100		"
"EPT_PTAX	BENT		% EPT taxa			0	100		"
"FEED_PT	BENT		Metric score for functional feeding group			0	10		"
"HABT_PT	BENT		Metric score for habit			0	10		"
"HPRIME	BENT	NONE	Shannon diversity, where prop_i=proportion of species i in sample			0			"
"INTLNTAX	BENT		Number of distinct intolerant taxa			0			"
"MMI_BENT	BENT		Benthic MMI score			0	100		"
"NOINPIND	BENT		% non-insect individuals			0	100		"
"NTOLNTAX	BENT		No. of non-tolerants (PTV<6) taxa			0			"
"NTOLPTAX	BENT		% taxa with pollution tolerance score between 0 and 5.9			0	100		"
"OE_COND	BENT		Condition class based on O/E score					GOOD|FAIR|POOR|NO DATA	"
"OE_SCORE	BENT		O/E score for benthic sample			0			"
"RICH_PT	BENT		Metric score for taxa richness			0	10		"
"SCRPNTAX	BENT		Number of distinct scraper taxa, based on WSA autecology			0			"
"SHRDNTAX	BENT		Number of distinct shredder taxa, based on WSA autecology			0			"
"SITE_ID	VERIF	NONE	Site ID	StrmVer					"
"STOLPTAX	BENT		% taxa with pollution tolerance score between 8 and 10			0	100		"
"TOLR_PT	BENT		Metric score for tolerance metric			0	10		"
"TOLRPTAX	BENT		% Tolerant (PTV>=7) taxa			0	100		"
"VISIT_NO	VERIF	NONE	Number identifying which visit this is	StrmVer					"
